CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
769980333,Existing Customer,36,M,1,Uneducated,Single,$80K - $120K,Blue,30,4,2,5,13005,2152,10853,1.42,3023,53,0.77,0.17
716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575,592,983,0.24,644,15,0.15,0.38
788783133,Existing Customer,58,F,0,Post-Graduate,Married,Less than $40K,Blue,39,5,3,3,6679,1207,5472,0.54,1649,29,0.38,0.18
816325533,Existing Customer,39,F,1,Graduate,Married,Less than $40K,Blue,34,6,3,5,6458,1802,4656,0.92,2315,49,0.58,0.28
720113433,Existing Customer,61,M,0,Unknown,Single,$60K - $80K,Blue,48,3,2,4,20803,1446,19357,0.74,2073,43,0.65,0.07
717233058,Existing Customer,34,M,4,Unknown,Married,$40K - $60K,Blue,26,3,2,4,5540,1240,4300,0.84,1524,31,0.82,0.22
710233683,Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,36,4,3,4,2801,2403,398,0.88,1526,44,1.00,0.86
778327908,Existing Customer,50,M,2,Uneducated,Single,Less than $40K,Blue,40,4,3,5,2419,2380,39,0.70,4099,73,0.66,0.98
716400633,Existing Customer,33,M,3,High School,Single,$40K - $60K,Blue,24,6,3,3,5156,1427,3729,0.48,2057,54,0.42,0.28
787488108,Existing Customer,48,F,1,High School,Married,Unknown,Blue,36,6,4,4,14228,1953,12275,0.65,1970,51,0.65,0.14
771649083,Existing Customer,63,M,0,High School,Married,$80K - $120K,Blue,51,3,3,4,10257,1021,9236,0.47,1508,30,0.43,0.10
789853533,Attrited Customer,54,M,3,High School,Married,$40K - $60K,Blue,44,2,1,5,3032,0,3032,0.95,1037,14,2.50,0.00
806256333,Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,Blue,36,2,3,5,1438.3,312,1126.3,0.66,1786,26,0.73,0.22
796336833,Existing Customer,51,M,3,Doctorate,Married,$80K - $120K,Blue,45,5,2,4,32096,0,32096,0.77,2619,69,0.92,0.00
713763633,Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,46,5,3,2,3014,794,2220,0.50,1488,30,0.58,0.26
710942358,Existing Customer,47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,5762,1890,3872,0.94,3814,88,0.66,0.33
713974533,Existing Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,45,5,1,3,2555,1701,854,1.49,3127,45,1.25,0.67
787231233,Existing Customer,34,M,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,3,2,34516,1731,32785,0.61,2421,63,0.58,0.05
719810583,Existing Customer,64,M,0,High School,Married,Less than $40K,Blue,54,4,3,2,2140,1361,779,0.46,1280,34,1.00,0.64
717124983,Existing Customer,62,F,1,Uneducated,Married,$40K - $60K,Blue,43,3,1,1,4760,0,4760,0.56,1459,20,0.54,0.00
787523283,Existing Customer,38,M,1,Graduate,Single,$80K - $120K,Blue,27,6,2,5,26372,1365,25007,1.39,2291,56,1.00,0.05
719493858,Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,43,5,2,2,8203,654,7549,0.59,2910,63,0.91,0.08
709897983,Existing Customer,35,F,2,Doctorate,Married,$40K - $60K,Blue,24,5,2,3,2655,1527,1128,0.72,1921,26,0.44,0.58
717225258,Existing Customer,35,M,2,Graduate,Single,$120K +,Blue,27,6,2,2,13655,1048,12607,0.51,2383,59,0.60,0.08
803148033,Existing Customer,54,M,1,College,Married,$80K - $120K,Blue,48,6,1,5,12169,1935,10234,0.44,1599,38,0.65,0.16
779474958,Existing Customer,35,F,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956,1823,1133,0.97,2144,58,0.81,0.62
712060158,Existing Customer,35,M,0,Doctorate,Single,$60K - $80K,Blue,18,6,2,3,2598,1645,953,0.77,2483,59,0.90,0.63
713292933,Existing Customer,36,F,3,Graduate,Single,Unknown,Blue,36,5,2,2,10566,726,9840,0.89,2156,64,1.21,0.07
710982858,Existing Customer,33,F,3,Graduate,Single,$40K - $60K,Blue,36,6,1,2,8232,2259,5973,1.16,2849,67,1.31,0.27
714542058,Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Silver,44,5,2,1,26365,680,25685,0.50,3411,68,0.79,0.03
712319058,Existing Customer,37,F,1,Uneducated,Married,Less than $40K,Blue,29,5,3,0,4671,1933,2738,0.99,2468,58,0.71,0.41
744483633,Existing Customer,35,M,3,Graduate,Married,$120K +,Blue,28,4,3,2,14869,0,14869,1.62,2753,48,1.09,0.00
714947883,Existing Customer,59,M,1,Graduate,Married,$40K - $60K,Blue,36,6,2,2,2300,1965,335,0.60,1693,27,0.69,0.85
788776908,Existing Customer,47,M,1,Unknown,Unknown,$80K - $120K,Blue,28,6,1,4,2797,1802,995,0.68,3525,63,0.75,0.64
714802458,Existing Customer,48,F,3,High School,Single,$40K - $60K,Blue,30,5,2,1,2657,2115,542,0.69,3580,77,0.71,0.80
721485708,Existing Customer,58,M,2,Uneducated,Married,$80K - $120K,Blue,46,6,1,3,9149,1806,7343,0.35,1220,36,0.33,0.20
716378658,Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue,36,5,2,3,2629,1476,1153,0.54,1725,41,0.41,0.56
713375658,Existing Customer,37,M,2,Graduate,Divorced,$40K - $60K,Blue,17,6,3,3,3176,0,3176,0.65,2298,67,0.46,0.00
717828108,Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,42,6,1,0,21875,2517,19358,0.41,1327,31,0.41,0.12
788784258,Existing Customer,60,M,2,High School,Married,Unknown,Blue,41,5,2,4,3007,1664,1343,0.34,1475,31,0.63,0.55
718875483,Existing Customer,50,M,1,College,Married,$60K - $80K,Blue,40,4,2,4,17404,1745,15659,0.54,4491,78,0.66,0.10
811111083,Existing Customer,56,M,2,High School,Married,$60K - $80K,Blue,51,5,6,3,2863,2517,346,0.58,1458,39,0.70,0.88
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516,2429,32087,0.74,3205,57,0.73,0.07
780197133,Existing Customer,40,M,4,Graduate,Single,$60K - $80K,Blue,30,4,1,1,13919,1266,12653,0.44,3699,67,0.52,0.09
719146008,Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,39,4,4,3,18672,2517,16155,0.80,1126,35,0.59,0.14
717727308,Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,36,6,2,2,4204,499,3705,0.64,4740,67,0.52,0.12
718445883,Existing Customer,61,F,1,Uneducated,Married,Less than $40K,Blue,36,3,2,4,6859,2489,4370,0.65,1617,26,1.00,0.36
795997908,Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,30,6,3,3,16050,1480,14570,1.33,3215,56,0.81,0.09
710159658,Existing Customer,46,M,5,High School,Married,$120K +,Blue,32,5,2,2,34516,1024,33492,0.72,2436,71,0.65,0.03
716068683,Existing Customer,28,M,0,Uneducated,Divorced,Unknown,Blue,36,3,3,3,16766,1535,15231,1.04,3093,77,0.88,0.09
778844433,Existing Customer,49,M,5,Unknown,Single,$80K - $120K,Blue,30,3,2,1,20895,1808,19087,0.57,3210,65,0.67,0.09
715161633,Existing Customer,44,F,4,High School,Single,$40K - $60K,Blue,38,6,3,3,7881,2517,5364,0.74,3068,77,0.71,0.32
773270058,Existing Customer,57,M,5,High School,Married,$80K - $120K,Blue,50,4,2,3,13427,0,13427,0.52,1337,27,0.59,0.00
714120258,Existing Customer,37,M,2,Uneducated,Divorced,$80K - $120K,Blue,36,3,3,2,2281,1677,604,1.03,2735,58,1.07,0.74
720076458,Existing Customer,57,M,2,Uneducated,Married,$80K - $120K,Blue,52,6,2,4,10974,0,10974,0.59,1327,26,1.00,0.00
720693033,Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,36,1,3,4,8925,168,8757,0.45,741,10,0.43,0.02
719978583,Existing Customer,46,M,2,High School,Married,$60K - $80K,Blue,40,4,1,3,5265,0,5265,0.52,3281,68,0.74,0.00
712784058,Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,36,6,4,3,17156,2517,14639,0.72,1142,33,0.32,0.15
717261708,Existing Customer,53,M,1,Unknown,Married,$80K - $120K,Blue,36,4,2,3,13457,1248,12209,0.51,1548,41,0.52,0.09
803665983,Existing Customer,52,M,0,Unknown,Married,$60K - $80K,Blue,46,3,2,4,2742,2184,558,0.59,3829,72,0.53,0.80
815838633,Existing Customer,34,M,1,Unknown,Married,$60K - $80K,Blue,29,3,2,3,3890,2286,1604,0.63,1889,51,0.46,0.59
826706208,Existing Customer,55,M,3,Graduate,Single,$80K - $120K,Blue,51,6,2,3,17198,0,17198,0.80,4042,62,0.72,0.00
721218408,Existing Customer,53,M,4,High School,Married,$120K +,Blue,41,6,3,4,3401,1713,1688,0.77,1924,54,0.32,0.50
779484408,Existing Customer,37,M,1,Unknown,Married,$60K - $80K,Blue,19,6,1,2,18951,1243,17708,1.15,2874,58,0.66,0.07
710416533,Existing Customer,58,F,3,Unknown,Single,$40K - $60K,Blue,52,4,1,1,1454,888,566,1.19,3060,56,0.65,0.61
719706483,Existing Customer,33,M,3,High School,Married,$120K +,Blue,20,6,3,2,27499,1188,26311,0.54,2202,46,0.39,0.04
712206858,Existing Customer,39,M,3,Graduate,Married,$120K +,Blue,36,3,3,2,32964,2231,30733,1.73,3094,45,1.65,0.07
709886583,Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,28,5,2,1,7411,633,6778,0.76,2761,77,0.60,0.09
711040758,Existing Customer,32,M,0,Uneducated,Single,$40K - $60K,Blue,36,4,3,3,7200,0,7200,0.89,3006,83,0.93,0.00
817197333,Existing Customer,26,F,1,Uneducated,Single,Unknown,Blue,13,6,2,3,12007,956,11051,0.83,2678,50,0.47,0.08
718929708,Existing Customer,60,F,0,Graduate,Married,Less than $40K,Blue,50,4,2,2,3147,1602,1545,0.57,1558,23,0.64,0.51
721150833,Existing Customer,37,M,1,Graduate,Single,$80K - $120K,Blue,18,6,2,5,5110,1942,3168,0.75,3028,76,0.58,0.38
714514983,Existing Customer,43,F,5,Graduate,Married,Less than $40K,Blue,35,3,6,4,5438,2214,3224,0.67,5029,75,0.56,0.41
779888658,Existing Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,40,6,1,1,17450,2193,15257,0.42,1426,38,0.46,0.13
715883358,Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,39,3,3,2,18352,1509,16843,0.90,1454,29,1.07,0.08
713363583,Existing Customer,34,M,2,Uneducated,Single,$120K +,Blue,17,3,1,2,5030,2326,2704,0.86,3345,69,1.30,0.46
772935108,Existing Customer,47,M,1,Unknown,Divorced,$80K - $120K,Silver,38,3,2,3,34516,802,33714,0.90,1823,27,0.80,0.02
820075983,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,21,4,3,2,1585,1535,50,0.46,2299,49,0.49,0.97
721502958,Existing Customer,54,M,1,High School,Married,$120K +,Blue,42,5,3,3,3251,1919,1332,0.56,1406,31,0.24,0.59
708596283,Existing Customer,35,F,3,Uneducated,Single,Less than $40K,Blue,23,3,2,2,2858,1251,1607,0.58,2844,73,0.62,0.44
710325258,Existing Customer,52,M,1,Unknown,Married,$80K - $120K,Silver,36,6,1,0,34516,1847,32669,0.53,3284,65,0.48,0.05
708823908,Existing Customer,41,M,3,Graduate,Single,$60K - $80K,Blue,28,4,1,3,16443,1363,15080,0.69,4252,64,0.68,0.08
826401858,Existing Customer,36,F,0,Uneducated,Divorced,Less than $40K,Blue,32,3,2,3,3687,1655,2032,0.74,2448,63,0.50,0.45
709554483,Existing Customer,53,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,3,4840,2517,2323,0.45,1637,22,1.00,0.52
710545158,Existing Customer,42,M,3,Unknown,Single,$120K +,Blue,36,6,3,2,15108,0,15108,1.02,3738,68,0.74,0.00
788621658,Existing Customer,54,M,1,College,Married,$60K - $80K,Blue,37,6,3,2,1909,1753,156,0.79,1457,24,0.60,0.92
716713533,Existing Customer,53,M,3,Post-Graduate,Single,$80K - $120K,Blue,44,5,2,2,19063,1236,17827,0.54,3393,58,0.87,0.07
712338033,Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,26,4,2,4,15982,1691,14291,0.81,1687,40,0.74,0.11
711639708,Existing Customer,42,M,3,Graduate,Single,$60K - $80K,Blue,32,6,2,2,1438.3,0,1438.3,0.66,1794,45,0.88,0.00
720216108,Existing Customer,27,F,2,College,Divorced,Less than $40K,Blue,14,4,3,3,2549,2130,419,0.69,2605,61,0.79,0.84
718708908,Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36,6,2,4,5967,2350,3617,0.54,1426,29,0.81,0.39
802890333,Existing Customer,59,M,1,Uneducated,Married,$40K - $60K,Blue,53,5,1,3,2182,1558,624,0.46,1660,34,0.79,0.71
712965183,Existing Customer,63,F,2,Graduate,Married,Less than $40K,Blue,52,5,2,3,2689,2101,588,0.42,1188,35,0.75,0.78
796170933,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,51,6,2,4,30622,0,30622,1.33,3600,66,0.78,0.00
712816833,Existing Customer,56,F,0,High School,Married,Unknown,Blue,48,4,1,2,4203,1965,2238,0.44,1425,32,0.78,0.47
814829583,Existing Customer,42,F,3,Unknown,Single,Less than $40K,Blue,37,6,1,3,6453,0,6453,0.76,4822,74,0.61,0.00
798769458,Existing Customer,29,F,1,High School,Single,Less than $40K,Blue,23,3,1,2,3318,927,2391,0.93,3011,83,0.80,0.28
818034558,Existing Customer,44,M,2,Unknown,Unknown,$60K - $80K,Blue,39,5,3,3,22075,1506,20569,0.79,2337,40,0.82,0.07
719483358,Existing Customer,33,M,1,College,Married,$40K - $60K,Blue,14,3,2,2,6746,1750,4996,0.96,2962,54,0.86,0.26
719647383,Existing Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,36,5,2,2,4408,1463,2945,0.73,2001,49,0.49,0.33
714909108,Existing Customer,33,F,3,Graduate,Single,Less than $40K,Blue,36,5,3,3,4838,1338,3500,0.71,2641,67,0.60,0.28
793678608,Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Silver,40,5,1,4,34516,0,34516,0.94,3568,57,0.68,0.00
720854358,Existing Customer,27,M,0,Unknown,Married,$40K - $60K,Blue,14,4,1,4,3823,2130,1693,0.37,2026,49,0.44,0.56
709126833,Existing Customer,42,M,3,College,Unknown,$120K +,Blue,36,3,2,1,21670,2183,19487,1.00,4121,81,0.76,0.10
788896983,Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,38,6,3,2,7928,1228,6700,0.63,1537,37,0.68,0.16
715731033,Existing Customer,50,M,3,Graduate,Single,$120K +,Blue,42,3,1,3,33996,949,33047,0.85,3569,77,0.57,0.03
717636933,Existing Customer,48,F,5,College,Divorced,$40K - $60K,Blue,40,3,1,1,4365,0,4365,0.60,3542,57,1.11,0.00
772658658,Existing Customer,57,M,2,High School,Single,$60K - $80K,Blue,47,6,3,4,2248,0,2248,0.74,4439,77,0.54,0.00
755943033,Existing Customer,34,F,2,Graduate,Single,Less than $40K,Blue,27,4,1,1,1901,1176,725,0.61,2450,52,0.86,0.62
772399983,Existing Customer,55,M,2,College,Single,$80K - $120K,Silver,45,3,1,4,34516,1433,33083,0.73,1966,31,0.55,0.04
826130133,Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,54,6,2,4,31680,1812,29868,0.48,1121,25,0.56,0.06
719238183,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,35,3,2,3,1872,1167,705,0.52,2238,45,0.61,0.62
802666083,Existing Customer,48,F,2,Uneducated,Unknown,Less than $40K,Blue,42,3,2,2,2055,0,2055,1.06,3656,63,0.75,0.00
713682708,Existing Customer,45,M,2,College,Divorced,$40K - $60K,Blue,37,5,1,2,10991,1328,9663,1.03,3692,60,0.71,0.12
712774008,Existing Customer,59,M,0,Uneducated,Married,Less than $40K,Blue,46,6,1,2,3939,2517,1422,0.38,1489,34,0.55,0.64
717627333,Existing Customer,53,F,2,Post-Graduate,Married,$40K - $60K,Blue,40,5,1,4,2127,1995,132,0.37,1363,37,0.37,0.94
779542608,Existing Customer,47,M,4,Uneducated,Single,$80K - $120K,Blue,32,3,3,2,34010,1340,32670,0.74,1739,39,0.50,0.04
715322958,Existing Customer,43,F,3,Unknown,Married,Unknown,Blue,36,4,2,1,6971,1506,5465,0.57,3575,67,0.68,0.22
779100408,Existing Customer,33,F,1,Post-Graduate,Married,Less than $40K,Blue,15,6,2,0,1741,1328,413,0.69,2629,61,0.65,0.76
715352883,Existing Customer,49,F,2,Post-Graduate,Single,Unknown,Blue,36,3,3,2,24904,0,24904,0.64,5176,71,0.48,0.00
789963033,Attrited Customer,54,F,1,Graduate,Single,Less than $40K,Blue,45,3,5,5,1438.3,0,1438.3,0.65,1603,39,0.44,0.00
710687508,Existing Customer,65,M,0,High School,Married,Less than $40K,Blue,56,6,3,1,2621,1858,763,0.99,2148,47,1.04,0.71
789656358,Existing Customer,49,F,5,Graduate,Married,$40K - $60K,Blue,35,5,2,1,11115,1292,9823,0.80,3956,74,0.61,0.12
715720083,Existing Customer,47,M,5,Unknown,Single,$80K - $120K,Blue,39,6,2,3,13241,0,13241,1.00,3157,76,0.55,0.00
716584158,Existing Customer,51,M,4,High School,Married,$80K - $120K,Blue,42,6,1,2,14438,2517,11921,0.85,2090,47,0.88,0.17
815727183,Existing Customer,36,M,3,High School,Single,$80K - $120K,Blue,31,6,1,1,5228,1443,3785,0.93,2683,62,0.94,0.28
717066408,Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,36,3,1,4,5550,1518,4032,1.18,2540,62,0.77,0.27
708104658,Existing Customer,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.3,890,548.3,1.14,2928,48,1.40,0.62
718016808,Existing Customer,62,F,0,Unknown,Married,Less than $40K,Blue,55,3,1,0,2064,1282,782,0.46,1475,27,0.93,0.62
814571058,Existing Customer,30,F,1,College,Single,Less than $40K,Blue,24,4,3,0,3450,2517,933,0.65,2545,64,0.78,0.73
714757908,Existing Customer,46,M,4,Graduate,Married,$120K +,Silver,36,4,1,3,34516,1380,33136,0.66,2163,56,0.40,0.04
710345808,Existing Customer,41,M,4,Uneducated,Divorced,$80K - $120K,Blue,36,6,2,2,30030,2028,28002,0.60,1828,38,1.11,0.07
814752558,Existing Customer,50,M,1,Uneducated,Married,$40K - $60K,Blue,45,5,3,3,2151,1163,988,0.85,2513,62,0.59,0.54
721284258,Existing Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,44,4,1,3,7181,2517,4664,0.55,1636,39,0.56,0.35
719336583,Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,44,3,3,3,27745,1300,26445,0.48,1525,21,0.50,0.05
797638383,Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,43,4,3,2,4852,2016,2836,0.58,3561,73,0.62,0.42
708434733,Existing Customer,56,M,1,Graduate,Married,$60K - $80K,Blue,50,6,3,3,6735,2289,4446,0.66,1249,28,0.75,0.34
711802758,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,53,4,1,2,6128,1895,4233,0.58,1700,42,0.36,0.31
720620058,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,4,3,2,23124,1746,21378,0.81,1959,50,0.72,0.08
819169683,Existing Customer,34,M,2,Unknown,Married,$40K - $60K,Blue,29,3,2,2,3436,1650,1786,0.79,1972,37,0.95,0.48
709757583,Existing Customer,35,M,0,Unknown,Married,$120K +,Blue,36,5,2,1,3176,1510,1666,0.89,2074,48,0.92,0.48
789307833,Existing Customer,44,M,4,College,Unknown,$120K +,Blue,34,5,3,3,8874,1590,7284,0.70,1849,56,0.65,0.18
823912308,Existing Customer,38,F,3,Graduate,Married,Less than $40K,Blue,34,5,1,0,3402,1813,1589,0.65,1767,28,0.65,0.53
720746208,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,6,1,1,2689,2077,612,0.38,1356,33,0.44,0.77
709121283,Existing Customer,54,M,3,Uneducated,Married,Less than $40K,Blue,36,3,3,2,1556,1278,278,0.46,1615,35,0.59,0.82
714093108,Existing Customer,58,F,2,High School,Single,$40K - $60K,Blue,36,3,3,3,7372,1210,6162,0.95,1707,56,0.51,0.16
718368333,Existing Customer,26,M,0,College,Unknown,Less than $40K,Blue,13,6,1,2,5713,789,4924,0.68,3323,61,0.53,0.14
806752533,Existing Customer,27,F,1,Post-Graduate,Single,Less than $40K,Blue,22,4,1,3,2965,1635,1330,0.70,2553,59,0.55,0.55
758521983,Existing Customer,33,M,1,Unknown,Married,$80K - $120K,Blue,26,3,2,2,9819,1200,8619,0.60,2198,40,0.54,0.12
779473308,Existing Customer,32,M,0,Uneducated,Single,$60K - $80K,Blue,14,4,3,3,8186,0,8186,0.74,2411,67,0.43,0.00
709376508,Existing Customer,58,F,1,College,Married,Less than $40K,Blue,49,3,3,2,3846,1285,2561,0.61,1815,47,0.62,0.33
712589658,Existing Customer,45,F,4,Uneducated,Unknown,Less than $40K,Silver,30,5,2,2,13131,1965,11166,0.70,1795,37,0.48,0.15
712141683,Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,28,4,2,1,2944,753,2191,0.71,3457,61,0.85,0.26
712494108,Existing Customer,38,M,2,Post-Graduate,Single,$60K - $80K,Silver,36,3,3,4,34516,1954,32562,0.44,1872,52,0.49,0.06
721350783,Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,38,6,3,4,5660,2006,3654,0.78,1569,39,0.77,0.35
710133858,Existing Customer,40,F,1,Graduate,Unknown,Less than $40K,Blue,30,5,1,1,7554,1848,5706,0.77,4150,64,0.52,0.25
719152383,Existing Customer,35,F,4,Uneducated,Married,Less than $40K,Blue,26,5,1,4,2494,1316,1178,1.49,2946,57,1.04,0.53
715174158,Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,36,4,1,0,25215,1445,23770,1.03,2588,48,1.00,0.06
780040758,Existing Customer,40,F,4,College,Married,$40K - $60K,Blue,24,5,3,2,2606,1818,788,0.70,1999,50,1.17,0.70
719525358,Existing Customer,52,M,0,Graduate,Single,$80K - $120K,Blue,43,4,3,3,8133,1942,6191,0.57,3310,76,0.58,0.24
710892408,Existing Customer,57,F,1,High School,Married,Less than $40K,Blue,36,6,2,2,3101,1257,1844,0.42,1681,32,0.52,0.41
713295183,Existing Customer,48,M,2,Graduate,Divorced,$80K - $120K,Blue,29,6,2,3,24446,1854,22592,0.78,3897,75,0.79,0.08
789871233,Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,39,5,3,2,2361,1342,1019,0.60,4316,78,0.53,0.57
712663533,Existing Customer,40,M,4,High School,Single,$40K - $60K,Blue,32,6,4,2,2441,1656,785,0.76,3903,62,0.82,0.68
820906233,Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,41,5,2,2,8532,2165,6367,0.71,3242,63,0.75,0.25
821163408,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,37,5,3,3,16954,1588,15366,0.88,3411,60,0.88,0.09
708947208,Existing Customer,36,M,2,Graduate,Single,$80K - $120K,Blue,17,4,3,1,2900,2029,871,0.85,2631,72,0.60,0.70
715261458,Existing Customer,37,F,1,Graduate,Single,Less than $40K,Blue,36,6,2,4,6827,0,6827,0.75,2621,49,0.82,0.00
789310833,Existing Customer,44,F,3,College,Divorced,$40K - $60K,Blue,34,5,2,5,4513,1950,2563,0.83,3164,62,0.59,0.43
818294958,Existing Customer,52,M,2,College,Married,$120K +,Blue,47,3,3,2,27347,719,26628,0.70,4040,77,0.67,0.03
713902983,Existing Customer,42,F,3,High School,Married,Less than $40K,Blue,36,4,3,1,1676,1372,304,0.52,4381,77,0.57,0.82
771693933,Existing Customer,62,F,1,Graduate,Married,Less than $40K,Blue,50,6,6,4,2802,1977,825,0.43,1757,33,0.83,0.71
827984658,Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,45,3,0,4,23870,0,23870,0.60,1885,39,0.35,0.00
789012633,Existing Customer,30,F,0,Graduate,Single,Less than $40K,Blue,17,3,2,1,4868,1090,3778,0.68,2907,69,0.82,0.22
807237783,Existing Customer,50,M,3,Uneducated,Single,$60K - $80K,Blue,45,5,3,5,20437,1020,19417,0.56,4166,66,0.74,0.05
803408733,Existing Customer,32,M,2,High School,Divorced,$60K - $80K,Blue,26,6,1,4,2239,1338,901,0.57,2466,60,0.58,0.60
824667708,Existing Customer,32,F,1,Graduate,Single,Less than $40K,Blue,28,6,3,3,2428,1027,1401,0.82,3007,84,0.87,0.42
807165033,Existing Customer,49,M,3,Post-Graduate,Single,$60K - $80K,Blue,44,3,1,5,15027,0,15027,0.81,3533,59,0.79,0.00
809984133,Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,32,3,3,5,32056,1887,30169,0.83,2730,68,0.70,0.06
718949433,Existing Customer,42,F,3,College,Single,Unknown,Silver,31,3,2,2,34516,919,33597,0.92,3415,79,0.76,0.03
751227183,Existing Customer,36,M,2,Unknown,Single,$80K - $120K,Blue,29,3,3,5,5346,1539,3807,0.78,2283,51,0.89,0.29
716331408,Attrited Customer,52,F,4,Unknown,Married,Less than $40K,Blue,36,1,4,5,2143,0,2143,0.85,1353,36,0.33,0.00
714199983,Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516,2317,32199,0.70,3927,68,0.70,0.07
774172158,Existing Customer,29,M,1,Unknown,Single,$60K - $80K,Blue,19,3,1,2,23507,1990,21517,0.63,2650,65,0.91,0.09
708171858,Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864,1081,783,1.42,2607,44,1.75,0.58
709074108,Existing Customer,36,M,2,College,Single,$60K - $80K,Blue,24,5,2,5,23032,840,22192,0.74,2787,73,0.70,0.04
721304133,Existing Customer,36,F,4,High School,Married,Less than $40K,Blue,36,4,1,3,4277,1578,2699,0.84,1855,49,1.04,0.37
787430733,Existing Customer,56,F,2,High School,Married,$40K - $60K,Blue,41,5,3,2,2771,1446,1325,0.69,1706,27,0.23,0.52
711225933,Existing Customer,28,M,1,High School,Divorced,Less than $40K,Blue,36,5,3,4,2265,1935,330,0.65,2306,61,0.53,0.85
717478983,Existing Customer,31,F,2,Uneducated,Divorced,Less than $40K,Blue,19,6,2,0,2853,1961,892,0.87,2697,68,0.79,0.69
720949083,Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,33,5,3,5,3075,2517,558,0.92,3534,53,0.71,0.82
712851108,Existing Customer,51,F,3,High School,Married,Unknown,Blue,31,5,1,5,15340,2331,13009,0.57,2965,51,0.59,0.15
713151258,Existing Customer,55,M,3,Graduate,Single,$40K - $60K,Blue,35,4,1,4,3065,0,3065,0.72,3524,69,0.61,0.00
799731033,Existing Customer,34,F,2,Doctorate,Single,Less than $40K,Blue,28,3,3,2,1438.3,0,1438.3,0.89,3044,91,0.90,0.00
822138333,Existing Customer,61,F,0,Graduate,Single,$40K - $60K,Blue,56,4,3,5,7118,813,6305,0.48,3964,66,0.65,0.11
708532308,Existing Customer,37,M,2,Uneducated,Single,$60K - $80K,Blue,36,4,2,2,11419,2517,8902,1.21,3000,70,1.06,0.22
713718558,Existing Customer,46,M,3,Graduate,Married,$40K - $60K,Blue,37,6,2,5,2403,0,2403,0.73,3393,64,0.88,0.00
